,name,address,county,ethnicity,GENDER,VETERAN,INCOME,NIGHTS,completed,probation,assistancetype,required,birthday,day_age,year_age,age_bracket,is_bday
0,Jacob Buck,"808 Dunn Forks
Port Davidburgh, GA 19602",West Jennifer,3,1,1,5779.0,10,1,0,1,0,1994-06-24,9659,26,adult,False
1,Katherine Myers,"446 Mendoza Square Apt. 671
Alejandroborough, KS 34223",South Heatherport,5,1,0,4286.0,74,1,0,0,0,1983-03-10,13783,37,adult,False
2,Frank Parks,"33187 Michael Creek
North Brian, MO 76011",Gonzalezhaven,4,1,0,13434.0,251,0,1,1,0,1996-01-16,9088,24,adult,False
3,Kyle Mckinney,"0472 Jonathan Road
West Cynthia, KS 51828",Gonzalezhaven,4,0,0,13491.0,337,1,0,0,0,1974-08-30,16897,46,adult,False
4,Paul Parker,"0761 Baxter Lock Suite 183
Brownshire, KS 21951",New Jasmin,0,1,0,13824.0,343,1,1,1,0,2011-11-21,3300,9,7-11,False
5,Brett Austin,"Unit 0826 Box 6017
DPO AP 17609",Elaineville,4,1,0,9965.0,46,0,1,0,0,1988-01-02,12024,32,adult,False
6,Kelly Larson,"25800 Amanda Union
Christopherfort, ID 65797",Currytown,4,1,0,6161.0,48,0,1,0,1,2017-02-05,1397,3,0-3,False
7,Jesse Morales,"Unit 0356 Box 5087
DPO AP 09206",Smithfurt,5,0,1,13864.0,184,1,1,1,1,2005-06-26,5639,15,12-15,False
8,Stacey Miller,"70030 King Hollow Apt. 389
Nguyenshire, HI 30053",Ruizchester,4,0,0,1866.0,133,1,0,0,0,1985-03-21,13041,35,adult,False
9,Aaron Giles,"3843 Kathryn Key
New Larry, MS 78071",South Elijahberg,1,0,1,13314.0,188,1,1,0,0,2005-08-08,5596,15,12-15,False
10,Keith Warren,"818 Kennedy Trafficway Suite 863
East Richardville, IA 34319",Ruizchester,2,1,0,3641.0,13,0,1,1,1,1985-12-14,12773,34,adult,False
11,Joe Harrell,"32578 Tommy Hollow Suite 381
South Claudialand, GA 67581",North Elizabeth,3,0,1,5679.0,391,0,1,0,1,1986-03-03,12694,34,adult,False
12,Lonnie Ho MD,"0442 Long Trail Suite 037
Sullivanshire, VT 61005",Port Shannon,3,1,1,9101.0,396,1,0,0,0,2012-01-12,3248,8,7-11,False
13,John Gutierrez,"5467 Mark Knoll Suite 798
Port Brian, AZ 71155",Mcdonaldborough,5,1,1,7626.0,454,0,0,0,0,2013-07-26,2687,7,7-11,False
14,Alexandra Butler,"86788 Darlene Dam Apt. 691
South Charlesborough, NJ 99904",Elaineville,2,1,0,13341.0,264,0,0,1,1,1992-05-10,10434,28,adult,False
